'1989-12-05 04:00:00', '+48 197040927', '+48 197673773'
'2002-09-18 23:00:00', '+48 897624343', '+48 216522530'
'2009-05-05 21:00:00', '+48 264721994', '+48 410184504'
'2019-03-31 20:00:00', '+48 066077313', '+48 061670738'
'2010-09-08 03:00:00', '+48 224934424', '+48 605647933'
'2013-12-13 00:00:00', '+48 493999125', '+48 064668641'
'1986-10-09 03:00:00', '+48 381193617', '+48 360857601'
'2001-06-04 09:00:00', '+48 521089832', '+48 215129770'
'2002-01-15 02:00:00', '+48 616307144', '+48 603467872'
'1994-07-14 17:00:00', '+48 444212551', '+48 620728191'
'2007-04-03 07:00:00', '+48 980947858', '+48 490644876'
'2012-07-28 00:00:00', '+48 120373934', '+48 456986553'
'2021-03-26 01:00:00', '+48 684415233', '+48 889115814'
'2012-10-10 08:00:00', '+48 266662753', '+48 690086679'
'2011-03-19 06:00:00', '+48 859512042', '+48 188102360'
'2005-11-30 20:00:00', '+48 013057678', '+48 175013813'
'2013-07-11 14:00:00', '+48 395862350', '+48 312975356'
'2006-04-01 05:00:00', '+48 476654067', '+48 715559836'
'2004-02-19 15:00:00', '+48 156325316', '+48 992095953'
'1992-07-25 06:00:00', '+48 349287898', '+48 849811324'
'1991-10-18 19:00:00', '+48 083699788', '+48 719336764'
'2010-10-16 08:00:00', '+48 722813335', '+48 412948100'
'1986-06-10 15:00:00', '+48 711029158', '+48 780956489'
'2017-06-30 23:00:00', '+48 216219831', '+48 825703310'
'2012-09-13 13:00:00', '+48 846407639', '+48 391660508'
'2015-03-10 04:00:00', '+48 464837590', '+48 994137271'
'2002-05-19 21:00:00', '+48 164572215', '+48 067874703'
'2022-01-16 00:00:00', '+48 714672303', '+48 904593550'
'1987-05-22 14:00:00', '+48 223852880', '+48 492489647'
'1993-08-26 07:00:00', '+48 021778416', '+48 786820309'
'2016-05-23 11:00:00', '+48 238349115', '+48 630849607'
'1994-04-01 14:00:00', '+48 892849064', '+48 158097677'
'1988-09-22 09:00:00', '+48 543648816', '+48 565564476'
'1985-11-19 15:00:00', '+48 202763529', '+48 736105667'
'2014-09-12 01:00:00', '+48 191965227', '+48 313367851'
'1993-11-20 21:00:00', '+48 032184641', '+48 023468674'
'2011-06-17 11:00:00', '+48 551968376', '+48 037471667'
'2001-01-24 23:00:00', '+48 931642953', '+48 987855706'
'2002-05-07 10:00:00', '+48 222775453', '+48 948154965'
'2015-08-26 20:00:00', '+48 328371969', '+48 204824740'
'2004-03-21 21:00:00', '+48 945902633', '+48 334239019'
'2009-02-13 19:00:00', '+48 402066377', '+48 008808887'
'1998-10-29 15:00:00', '+48 197216320', '+48 440558174'
'1994-10-10 13:00:00', '+48 659970256', '+48 792845168'
'2019-09-29 06:00:00', '+48 800606847', '+48 546841164'
'1999-08-21 15:00:00', '+48 191002606', '+48 219127210'
'2017-02-09 23:00:00', '+48 284636972', '+48 706325009'
'2004-08-23 23:00:00', '+48 311360635', '+48 168526182'
'2000-01-05 04:00:00', '+48 991221025', '+48 839376351'
'2014-04-02 11:00:00', '+48 208155479', '+48 828143912'
'2008-05-25 14:00:00', '+48 092938059', '+48 745754675'
'2020-03-12 20:00:00', '+48 528661340', '+48 994526006'
'1993-12-10 06:00:00', '+48 283393754', '+48 184769353'
'1994-05-11 03:00:00', '+48 626818549', '+48 231701798'
'2012-01-24 21:00:00', '+48 483297245', '+48 566442170'
'1992-12-12 12:00:00', '+48 529877870', '+48 622896662'
'2015-06-06 13:00:00', '+48 200328681', '+48 508817282'
'2001-11-09 07:00:00', '+48 426906418', '+48 183921748'
'1996-08-30 13:00:00', '+48 212892888', '+48 673129815'
'1999-03-07 18:00:00', '+48 114856381', '+48 392594749'
'2016-01-28 15:00:00', '+48 875237026', '+48 806887154'
'2021-05-12 09:00:00', '+48 813434998', '+48 488384650'
'2010-10-21 18:00:00', '+48 633181823', '+48 113470187'
'2014-08-27 04:00:00', '+48 458852361', '+48 728702652'
'1985-12-28 04:00:00', '+48 179716975', '+48 468629508'
'1986-12-02 01:00:00', '+48 871208529', '+48 900279601'
'2016-06-10 21:00:00', '+48 317322061', '+48 599721010'
'2020-01-27 14:00:00', '+48 373595867', '+48 286097013'
'1999-11-24 18:00:00', '+48 736889864', '+48 373185254'
'2009-07-27 15:00:00', '+48 203473318', '+48 374587635'
'2006-09-05 19:00:00', '+48 572574673', '+48 725418134'
'2007-12-31 10:00:00', '+48 962807995', '+48 463382470'
'2020-12-10 14:00:00', '+48 813021841', '+48 720300624'
'2005-10-30 06:00:00', '+48 105417465', '+48 907458714'
'2014-09-02 14:00:00', '+48 710688958', '+48 398967730'
'2006-04-14 18:00:00', '+48 002775774', '+48 291515175'
'2021-09-17 04:00:00', '+48 239164535', '+48 993501189'
'2000-06-13 04:00:00', '+48 675122335', '+48 288962728'
'1998-02-16 16:00:00', '+48 855814693', '+48 630903356'
'2006-09-16 13:00:00', '+48 655128084', '+48 675854594'
'2016-08-07 11:00:00', '+48 513208828', '+48 804827199'
'1993-08-02 10:00:00', '+48 561677815', '+48 003060889'
'2011-04-22 07:00:00', '+48 387077550', '+48 835839741'
'1988-10-27 02:00:00', '+48 679891968', '+48 950244919'
'1996-10-15 06:00:00', '+48 504098358', '+48 000081530'
'1984-12-29 22:00:00', '+48 129613309', '+48 548059602'
'1985-09-14 03:00:00', '+48 366204049', '+48 756143714'
'2011-05-25 16:00:00', '+48 406154019', '+48 719449945'
'1996-01-20 06:00:00', '+48 798706009', '+48 232915659'
'1984-10-21 06:00:00', '+48 973101988', '+48 974180378'
'2013-06-28 22:00:00', '+48 254242703', '+48 493953235'
'2022-09-13 13:00:00', '+48 340461167', '+48 203131180'
'2022-06-25 12:00:00', '+48 712723154', '+48 166498924'
'1987-09-30 15:00:00', '+48 584364709', '+48 323040623'
'1995-10-10 17:00:00', '+48 788212774', '+48 402461191'
'2001-01-20 02:00:00', '+48 428443775', '+48 250653720'
'2009-04-14 17:00:00', '+48 926537481', '+48 949525262'
'1995-10-16 19:00:00', '+48 321840135', '+48 871912585'
'2002-02-25 18:00:00', '+48 943474377', '+48 748465972'
'2021-05-29 08:00:00', '+48 746367651', '+48 837906407'
'2011-02-28 06:00:00', '+48 458014885', '+48 375804454'
